Index,ip,timestamp,method,uri,status_code,bytes,Label_Text,Anomaly_Score,request_count,error_4xx_rate,error_5xx_rate,avg_payload_bytes,max_payload_bytes,unique_uri_count,suspicious_flag_count
37,91.99.72.15,1/22/2019 3:56,GET,/product/32257/62557/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-Marc-Joseph-%D9%85%D8%AF%D9%84-Vetiver-Story,200,41176,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
38,91.99.72.15,1/22/2019 3:56,GET,/product/2623,200,43555,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
39,54.36.148.10,1/22/2019 3:56,GET,"/filter/p42,stexists,t51,v1|%D9%85%D8%B4%DA%A9%DB%8C%20%D8%B3%D9%81%DB%8C%D8%AF",200,32189,Normal,0.328308615,1,0,0,32189,32189,1,0
40,91.99.72.15,1/22/2019 3:56,GET,/product/32718/63159/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-LE-29D40,200,42528,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
41,91.99.72.15,1/22/2019 3:56,GET,/product/26350/53953/%D9%BE%DB%8C%D8%A7%D9%86%D9%88-%D8%A2%DA%A9%D9%88%D8%B3%D8%AA%DB%8C%DA%A9-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-YAMAHA-%D9%85%D8%AF%D9%84-JU109,200,40797,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
42,91.99.72.15,1/22/2019 3:56,GET,/product/7793/9663/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-ME201,200,40889,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
43,91.99.72.15,1/22/2019 3:56,GET,/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT,200,41483,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
44,91.99.72.15,1/22/2019 3:56,GET,/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288,200,41725,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
45,91.99.72.15,1/22/2019 3:56,GET,/product/32798/63266/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1-%D9%85%D8%AF%D9%84-pearl-SR7,200,40250,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
46,91.99.72.15,1/22/2019 3:56,GET,/product/29080,200,41308,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
47,91.99.72.15,1/22/2019 3:56,GET,/product/30472/60169/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-Poison-Girl,200,42242,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
48,91.99.72.15,1/22/2019 3:56,GET,/product/14496/25676/%D8%B3%D8%B1-%D8%B4%D9%88%D8%B1-%D8%A2%D8%B1%DB%8C%D8%A7-%D8%B5%D9%86%D8%B9%D8%AA-%D9%85%D8%AF%D9%84-SN-3270,200,40134,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
49,2.179.141.98,1/22/2019 3:56,POST,"/ajaxFilter/p65,b1",200,5409,Normal,0.301917767,6,0,0,2780.666667,5409,2,0
50,5.78.198.52,1/22/2019 3:56,GET,/m/filter/p62,200,19265,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
51,66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b2,p6",200,19451,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
52,5.62.206.249,1/22/2019 3:56,GET,/image/34187,200,5603,Normal,0.335483378,1,0,0,5603,5603,1,0
53,66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b105,b113,b118,b126,b135,b136,b152,b168,b180,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b270,b35,b4,b400,b41,b435,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",200,26859,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
54,66.249.66.194,1/22/2019 3:56,GET,/m/product/17369/48780/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1%D8%A8-%D9%87%D8%A7%DB%8C%D8%B3%D9%86%D8%B3-%D9%85%D8%AF%D9%84-RQ-56WC4SAB,200,20863,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
55,5.78.198.52,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
56,5.78.198.52,1/22/2019 3:56,GET,/image/57737/productModel/200x200,200,4361,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
57,5.160.157.20,1/22/2019 3:56,GET,/filter,301,178,Normal,0.312535516,2,0,0,178,178,2,0
58,17.58.102.43,1/22/2019 3:56,GET,/filter/b571%2Cb288%2Cb70%2Cb57%2Cb6%2Cb355%2Cb485%2Cb87%2Cb551%2Cb148,200,37759,Normal,0.312252166,3,0,0,25433.66667,38542,3,0
59,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
60,66.111.54.249,1/22/2019 3:56,GET,/static/images/guarantees/support.png,200,6454,Normal,0.208254318,34,0,0,10131.55882,68123,34,0
61,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
62,31.56.96.51,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
63,31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/third-party/footer-mobile.png,200,62894,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
64,31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/instagram.png,200,7146,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
65,66.249.64.66,1/22/2019 3:56,GET,/m/browse/washing-machine/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C,200,20199,Normal,0.305550186,1,0,0,20199,20199,1,0
66,31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/blog.png,200,3863,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
67,91.99.72.15,1/22/2019 3:56,GET,/product/21891/46412/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1-rain-sport-%D9%85%D8%AF%D9%84-RK-2106b,200,41561,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
68,66.249.66.194,1/22/2019 3:56,GET,/m/browse/electric-shavers/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD,200,20827,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
69,66.249.66.194,1/22/2019 3:56,GET,/product/22706/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%BA%D9%88%D8%A7%D8%B5%DB%8C-CHRIS-BENZ-%D9%85%D8%AF%D9%84-CBD.SI.KBS,200,41552,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
70,66.249.66.194,1/22/2019 3:56,GET,/product/26694/61119/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%DA%A9%D9%88%D9%87%D8%B3%D8%AA%D8%A7%D9%86-%D9%81%D9%88%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-NEVADA-1.7-%282016%29,200,41524,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
71,66.249.66.194,1/22/2019 3:56,GET,/m/product/31479/61477/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-Honor-5x-Dual-16GB-%28KIW-L21%29,200,21141,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
72,5.112.52.254,1/22/2019 3:56,GET,/image/1221,200,2856,Normal,0.325820561,2,0,0,3089.5,3323,2,0
73,5.112.52.254,1/22/2019 3:56,GET,/image/32837,200,3323,Normal,0.325820561,2,0,0,3089.5,3323,2,0
74,31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/telegram.png,200,4859,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
75,31.56.96.51,1/22/2019 3:56,GET,/image/60847/productModel/200x200,200,5667,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
76,66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b105,b113,b118,b126,b135,b136,b147,b152,b168,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b32,b35,b4,b400,b41,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",200,26770,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
77,40.77.167.129,1/22/2019 3:56,GET,/image/6229/productModel/100x100,200,1796,Normal,0.274533583,10,0,0,4514.4,14776,10,0
78,40.77.167.129,1/22/2019 3:56,GET,/image/6229/productModel/150x150,200,2739,Normal,0.274533583,10,0,0,4514.4,14776,10,0
79,40.77.167.129,1/22/2019 3:56,GET,/image/6248/productModel/150x150,200,2788,Normal,0.274533583,10,0,0,4514.4,14776,10,0
80,40.77.167.129,1/22/2019 3:56,GET,/image/64815/productModel/150x150,200,3481,Normal,0.274533583,10,0,0,4514.4,14776,10,0
81,66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b1,b103,b126,b136,b143,b148,b183,b185,b188,b192,b198,b20,b202,b216,b218,b221,b226,b236,b249,b256,b261,b270,b3,b308,b32,b36,b4,b41,b42,b43,b441,b454,b481,b484,b523,b548,b570,b573,b598,b6,b613,b614,b63,b647,b651,b701,b703,b874,b879,b88,b880,b883,b890,b900,b903,b99,stexists",200,27284,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
82,51.15.15.54,1/22/2019 3:56,GET,/blog/tag/%DA%AF%D8%AC%D8%AA/,200,21391,Normal,0.309139437,1,0,0,21391,21391,1,0
83,66.249.66.194,1/22/2019 3:56,GET,/product/34024/64843/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-Ultimo-SR-D2LW,200,43526,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
84,54.36.149.63,1/22/2019 3:56,GET,"/filter/b41,b632,p47,stexists,t445",200,33613,Normal,0.326675619,1,0,0,33613,33613,1,0
85,66.249.66.194,1/22/2019 3:56,GET,/product/4057/47/78306,200,41398,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
86,40.77.167.129,1/22/2019 3:56,GET,/image/45437/productModel/150x150,200,3688,Normal,0.274533583,10,0,0,4514.4,14776,10,0
87,40.77.167.129,1/22/2019 3:56,GET,/image/576/article/100x100,200,14776,Normal,0.274533583,10,0,0,4514.4,14776,10,0
88,40.77.167.129,1/22/2019 3:56,GET,/image/57710/productModel/100x100,200,1695,Normal,0.274533583,10,0,0,4514.4,14776,10,0
89,40.77.167.129,1/22/2019 3:56,GET,/image/578/article/100x100,200,9831,Normal,0.274533583,10,0,0,4514.4,14776,10,0
90,31.56.96.51,1/22/2019 3:56,GET,/image/60819/productModel/200x200,200,7171,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
91,31.56.96.51,1/22/2019 3:56,GET,/image/61474/productModel/200x200,200,5379,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
92,31.56.96.51,1/22/2019 3:56,GET,/image/60844/productModel/200x200,200,5667,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
93,31.56.96.51,1/22/2019 3:56,GET,/image/60835/productModel/200x200,200,8171,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
94,31.56.96.51,1/22/2019 3:56,GET,/image/62254/productModel/200x200,200,4198,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
95,31.56.96.51,1/22/2019 3:56,GET,/image/60862/productModel/200x200,200,4228,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
96,5.211.97.39,1/22/2019 3:56,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it,404,0,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
97,5.211.97.39,1/22/2019 3:56,GET,/image/890/mainSlideMobile,200,92209,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
98,5.211.97.39,1/22/2019 3:56,GET,/image/2145/productModel/200x200,200,6185,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
99,5.211.97.39,1/22/2019 3:56,GET,/image/11667/productModel/200x200,200,4124,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
100,5.211.97.39,1/22/2019 3:56,GET,/image/59734/productModel/200x200,200,5602,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
101,5.211.97.39,1/22/2019 3:56,GET,/image/61048/productModel/200x200,200,6934,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
102,5.211.97.39,1/22/2019 3:56,GET,/image/30331/productModel/200x200,200,4845,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
103,5.211.97.39,1/22/2019 3:56,GET,/image/62383/productModel/200x200,200,5617,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
104,54.36.149.17,1/22/2019 3:56,GET,/product/30972/84309,200,41524,Normal,0.293599434,1,0,0,41524,41524,1,0
105,5.211.97.39,1/22/2019 3:56,GET,/image/63875/productModel/200x200,200,4014,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
106,5.211.97.39,1/22/2019 3:56,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it,404,0,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
107,5.211.97.39,1/22/2019 3:56,GET,/image/4574/productModel/200x200,200,3577,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
108,31.56.96.51,1/22/2019 3:56,GET,/image/60814/productModel/200x200,200,5865,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
109,5.211.97.39,1/22/2019 3:56,GET,/m/browse/meat-grinder/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA,200,19543,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
110,5.211.97.39,1/22/2019 3:56,GET,/image/2102/productModel/200x200,200,5007,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
111,5.211.97.39,1/22/2019 3:56,GET,/image/2106/productModel/200x200,200,5930,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
112,5.211.97.39,1/22/2019 3:56,GET,/image/52306/productModel/200x200,200,5080,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
113,5.211.97.39,1/22/2019 3:56,GET,/image/62384/productModel/200x200,200,4418,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
114,5.211.97.39,1/22/2019 3:56,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it,404,0,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
115,5.211.97.39,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
116,5.211.97.39,1/22/2019 3:56,GET,/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7,200,16726,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
117,31.56.96.51,1/22/2019 3:56,GET,/m/filter/b113,200,21243,Normal,0.262575514,14,0,0,10747.92857,62894,14,0
118,34.247.132.53,1/22/2019 3:56,GET,/,200,29619,Normal,0.326173068,1,0,0,29619,29619,1,0
119,54.36.149.70,1/22/2019 3:56,GET,"/filter/b215,b400,p5686,v1|%D8%B3%D9%81%DB%8C%D8%AF%20%D8%A8%D9%86%D9%81%D8%B4.",200,30673,Normal,0.329653766,1,0,0,30673,30673,1,0
120,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,394,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
121,66.249.66.194,1/22/2019 3:56,GET,/product/20821/44932/%D8%AF%D8%B3%D8%AA%DA%AF%D8%A7%D9%87-%D8%A8%D8%AE%D9%88%D8%B1-%D8%B2%DB%8C%DA%A9%D9%84%D8%A7%D8%B3-%D9%85%D8%AF-%D9%85%D8%AF%D9%84-%D8%A8%D8%AE%D9%88%D8%B1-%D8%B3%D8%B1%D8%AF-ZYK-C01,302,0,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
122,54.36.148.32,1/22/2019 3:56,GET,/product/14934/75047,200,44428,Normal,0.282707608,1,0,0,44428,44428,1,0
123,54.36.149.41,1/22/2019 3:56,GET,"/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53",200,30577,Normal,0.329653766,1,0,0,30577,30577,1,0
124,207.46.13.115,1/22/2019 3:56,GET,/image/553/article/100x100,200,11229,Normal,0.288177146,7,0,0,3638.428571,11229,7,0
125,207.46.13.115,1/22/2019 3:56,GET,/image/45443/productModel/150x150,200,2891,Normal,0.288177146,7,0,0,3638.428571,11229,7,0
126,207.46.13.115,1/22/2019 3:56,GET,/image/46131/productModel/100x100,200,1981,Normal,0.288177146,7,0,0,3638.428571,11229,7,0
127,2.177.12.140,1/22/2019 3:56,GET,/image/64498/productModel/150x150,200,4890,Normal,0.247848642,18,0,0,9459.444444,62894,18,0
128,2.177.12.140,1/22/2019 3:56,GET,/image/59567/productModel/150x150,200,6005,Normal,0.247848642,18,0,0,9459.444444,62894,18,0
129,89.199.193.251,1/22/2019 3:56,GET,/image/33888,200,3975,Normal,0.343122912,1,0,0,3975,3975,1,0
130,2.179.141.98,1/22/2019 3:56,POST,"/ajaxFilter/p65,b1",200,5409,Normal,0.301917767,6,0,0,2780.666667,5409,2,0
131,54.36.149.35,1/22/2019 3:56,GET,"/filter/p10143,stexists,v1|%D9%85%D8%B4%DA%A9%DB%8C",200,29665,Normal,0.3282752,1,0,0,29665,29665,1,0
132,66.249.66.91,1/22/2019 3:56,GET,/filter/b656%2Cb703%2Cb32%2Cb67%2Cb226%2Cb41%2Cb598%2Cb168%2Cb723%2Cb597%2Cb88%2Cb548%2Cb6%2Cb679%2Cb215%2Cb105%2Cb194%2Cb74%2Cb542%2Cb35%2Cb113%2Cb820%2Cb574%2Cb442%2Cb645%2Cb724%2Cb118%2Cb482%2Cb400%2Cb95%2Cb135%2Cb249%2Cb221%2Cb523%2Cb854%2Cb126%2Cstexists%2Cb216%2Cb217%2Cb152%2Cb99%2Cb188%2Cb209%2Cb192%2Cb213%2Cb136%2Cb218%2Cb4%2Cb648%2Cb454%2Cb435%2Cb261%2Cb147,200,41332,Normal,0.284041903,14,0,0,31330.42857,42101,13,0
133,172.20.2.174,1/22/2019 3:56,GET,/site/ping,200,4,Normal,0.332845397,1,0,0,4,4,1,0
134,66.249.66.91,1/22/2019 3:56,GET,/filter/b481%2Cb226%2Cb570%2Cb80%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb723%2Cb42%2Cb198%2Cb35%2Cb183%2Cb219%2Cb308%2Cb126%2Cb523%2Cb900%2Cb188%2Cb703%2Cb890%2Cb148%2Cb236%2Cb256%2Cb74%2Cb400%2Cb209%2Cb19%2Cb651%2Cb202%2Cb4%2Cb22%2Cb238%2Cb6%2Cb596%2Cb143%2Cb877%2Cb485%2Cb221%2Cb194%2Cb136%2Cb647%2Cb497%2Cb546%2Cb105%2Cb185%2Cb95%2Cb568%2Cb151%2Cb88%2Cb597%2Cb820%2Cb103%2Cb613%2Cb880%2Cb36%2Cb212%2Cb542%2Cb213%2Cb186,200,42101,Normal,0.284041903,14,0,0,31330.42857,42101,13,0
